date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-01-04T00:00:00.000Z,113.33,113.39,111.51,112.37,118857369,84.7262007531,84.7710571199,83.365557628,84.0084988849,118857369,0.0,1.0
2010-01-05T00:00:00.000Z,113.63,113.68,112.85,113.26,111519230,84.9504825869,84.9878628925,84.367349819,84.6738683252,111519230,0.0,1.0
2010-01-06T00:00:00.000Z,113.71,113.99,113.43,113.52,116017127,85.0102910759,85.2196207875,84.8009613644,84.8682459145,116017127,0.0,1.0
2010-01-07T00:00:00.000Z,114.19,114.33,113.18,113.5,130502017,85.36914201,85.4738068658,84.6140598362,84.8532937923,130502017,0.0,1.0
2010-01-08T00:00:00.000Z,114.57,114.62,113.66,113.89,126357911,85.6532323328,85.6906126385,84.9729107703,85.1448601762,126357911,0.0,1.0
2010-01-11T00:00:00.000Z,114.73,115.13,114.24,115.08,105905179,85.7728493109,86.071891756,85.4065223157,86.0345114503,105905179,0.0,1.0
2010-01-12T00:00:00.000Z,113.66,114.21,113.22,113.97,166498092,84.9729107703,85.3840941323,84.6439640807,85.2046686652,166498092,0.0,1.0
2010-01-13T00:00:00.000Z,114.62,114.94,113.37,113.95,161730350,85.6906126385,85.9298465946,84.7561049976,85.189716543,161730350,0.0,1.0
2010-01-14T00:00:00.000Z,114.93,115.14,114.42,114.49,115646960,85.9223705334,86.0793678171,85.5410914159,85.5934238438,115646960,0.0,1.0
2010-01-15T00:00:00.000Z,113.64,114.84,113.2,114.73,212252769,84.957958648,85.8550859833,84.6290119584,85.7728493109,212252769,0.0,1.0
2010-01-19T00:00:00.000Z,115.06,115.13,113.59,113.62,138671890,86.0195593281,86.071891756,84.9205783424,84.9430065258,138671890,0.0,1.0
2010-01-20T00:00:00.000Z,113.89,114.45,112.98,114.28,216330645,85.1448601762,85.5635195993,84.4645386136,85.4364265602,216330645,0.0,1.0
2010-01-21T00:00:00.000Z,111.7,114.27,111.56,113.92,344747028,83.5076027894,85.428950499,83.4029379336,85.1672883596,344747028,0.0,1.0
2010-01-22T00:00:00.000Z,109.21,111.74,109.09,111.2,345627282,81.6460635687,83.5375070339,81.5563508352,83.133799733,345627282,0.0,1.0
2010-01-25T00:00:00.000Z,109.77,110.41,109.41,110.21,186751367,82.0647229919,82.543190904,81.7955847913,82.3936696814,186751367,0.0,1.0
2010-01-26T00:00:00.000Z,109.31,110.47,109.04,109.34,210788669,81.72082418,82.5880472707,81.5189705296,81.7432523634,210788669,0.0,1.0
2010-01-27T00:00:00.000Z,109.83,110.08,108.33,109.17,271482263,82.1095793586,82.2964808868,80.9881701896,81.6161593242,271482263,0.0,1.0
2010-01-28T00:00:00.000Z,108.57,110.25,107.91,110.19,315523641,81.1675956566,82.423573926,80.6741756222,82.3787175592,315523641,0.0,1.0
2010-01-29T00:00:00.000Z,107.39,109.8,107.22,109.04,310523229,80.2854204436,82.0871511752,80.1583274045,81.5189705296,310523229,0.0,1.0
2010-02-01T00:00:00.000Z,109.06,109.07,107.5,108.15,187376305,81.5339226518,81.541398713,80.367657116,80.8536010893,187376305,0.0,1.0
2010-02-02T00:00:00.000Z,110.38,110.59,108.88,109.26,216202000,82.5207627206,82.6777600043,81.3993535515,81.6834438744,216202000,0.0,1.0
2010-02-03T00:00:00.000Z,109.83,110.48,109.51,109.88,172541928,82.1095793586,82.5955233319,81.8703454026,82.1469596643,172541928,0.0,1.0
2010-02-04T00:00:00.000Z,106.44,109.03,106.42,108.98,356204273,79.5751946365,81.5114944685,79.5602425143,81.4741141628,356204273,0.0,1.0
